Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
53534753,Mo's Bar and Lounge,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,80 Lafayette Avenue,,Brooklyn,11217,40.68716038,-73.97475967,212-665-8012,You can find free safer sex products inside a fishbowl located by the bar of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,3:00 PM - 3:00 AM,TRUE,TRUE,TRUE,,,302,35,3500,3059305,3021160021,BK68
53534664,HASA Center #43  Kingsbridge Ctr,Free Safer Sex Products,Condoms and Lubricant,,Government,Community Center,888 Garrison Avenue,,Bronx,10474,40.81724955,-73.89186775,,You can find free safer sex products inside a dispenser located in the waiting room of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,TRUE,FALSE,,,202,17,9300,2005939,2027390015,BX27
53534617,Dream Barber Shop,Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,147-34 Jamaica Avenue,,Queens,11435,40.70176439,-73.80672457,212-388-1464,You can find free safer sex products inside a dispenser/fishbowl located at the front desk of the Barbershop. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,,TRUE,FALSE,TRUE,,,412,27,21200,4213979,4099950001,QN61
53534815,Rainbow Station,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,203 8 Avenue,,Manhattan,10011,40.743645,-73.99969325,,You can find free safer sex products inside a fishbowl located inside of the Sex Store. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,104,3,8900,1013265,1007440039,MN13
53534692,Jancy Barber Shop (Formerly El Feine),Free Safer Sex Products,Condoms and Lubricant,,Business,Barbershop,249 East 165 Street,,Bronx,10456,40.82957795,-73.91709163,,You can find free safer sex products inside a dispenser located in the front of the Barbershop. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,204,16,18101,2002529,2024480001,BX14
53534625,El Abuelo Gozon,Free Safer Sex Products,Condoms and Lubricant,,Business,Night Club,79-03 Roosevelt Avenue,,Queens,11372,40.74736023,-73.88656446,212-475-4600,You can find free safer sex products inside a dispenser located in the front near the bar of the Night Club. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,TRUE,FALSE,FALSE,,,403,25,28500,4029980,4012900046,QN28
53534496,Albatross Bar,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,36-19 24 Avenue,,Queens,11103,40.77038417,-73.91268163,,You can find free safer sex products inside a fishbowl located at the bar of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,1:00 PM - 4:00 AM,TRUE,TRUE,TRUE,,,401,22,11700,4016234,4008190075,QN72
53534505,Andromeda,Free Safer Sex Products,Condoms and Lubricant,,Business,Tattoo Parlor,33 St Marks Place,,Manhattan,10003,40.72881443,-73.9881729,,You can find free safer sex products inside a dispenser/fishbowl located fishbowl at cashier of the Tattoo Parlor. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,103,2,3800,1006749,1004640043,MN22
53534787,Open House,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,244 East Houston Street,,Manhattan,10002,40.72205104,-73.98570646,,You can find free safer sex products inside a fishbowl located inside of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,103,2,3002,1075675,1003970065,MN22
53534766,NYC Central Harlem Sexual Health Clinc,Free Safer Sex Products,Condoms and Lubricant,,Sexual Health Clinics (NYC DOHMH),Clinical Facility,"2238 5 Avenue,1st Floor",,Manhattan,10037,40.81363815,-73.93699193,311,You can find free safer sex products inside a fishbowl located in the front of the Government Building. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,TRUE,TRUE,TRUE,,<a href=http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page>Visit this organization's website</a>,110,9,21200,1053900,1017340034,MN03
53534715,"Lesbian, Gay, Bisexual and Transgender Community Center",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Community Center,"208 West 13 Street,202",,Manhattan,10011,40.73802647,-74.00060262,917-262-0512,You can find free safer sex products inside a dispenser located in various locations around the Center of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 9:00 PM,TRUE,FALSE,TRUE,,<a href=https://gaycenter.org/recovery-health#health>Visit this organization's website</a>,102,3,7700,1067571,1006170047,MN23
53534661,HASA Center #19 Crotona,Free Safer Sex Products,Condoms and Lubricant,,Government,Community Center,"1790 Grand Concourse,3rd",,Bronx,10457,40.84670994,-73.90895938,718-716-5170,You can find free safer sex products inside a dispenser located in the waiting room of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,TRUE,TRUE,,,205,15,22901,2094521,2027950014,BX41
53534868,Ty's,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,114 Christopher Street,,Manhattan,10014,40.73322026,-74.00529693,,You can find free safer sex products inside a dispenser located in the back near the restroom of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,2:00 PM - 2:00 AM,2:00 PM - 2:00 AM,2:00 PM - 2:00 AM,2:00 PM - 3:00 AM,2:00 PM - 4:00 AM,2:00 PM - 4:00 AM,1:00 PM - 3:00 AM,TRUE,FALSE,FALSE,,,102,3,7300,1010036,1005880048,MN23
53534822,Sam Gore Unisex,Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,1844 Amsterdam Avenue,,Manhattan,10031,40.8292103,-73.94470638,,"You can find free safer sex products inside a dispenser/fishbowl located dispenser in the back, fishbowl in the front of the Beauty Salon. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.",1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,109,7,23700,1079858,1020830030,MN04
53534778,NYC Morrisania Sexual Health Clinc,Free Safer Sex Products,Condoms and Lubricant,,Sexual Health Clinics (NYC DOHMH),Clinical Facility,"1309 Fulton Avenue,2nd Floor",,Bronx,10456,40.83284691,-73.90302667,311,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,8:30 AM - 3:30 PM,,,TRUE,FALSE,FALSE,,<a href=http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page>Visit this organization's website</a>,203,16,14701,2009620,2029250080,BX01
53534804,Point Break,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,12 West 45 Street,,Manhattan,10036,40.75569554,-73.98020919,516-244-0392,You can find free safer sex products inside a fishbowl located at the end of the bar of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,12:00 PM - 4:00 PM,,TRUE,FALSE,FALSE,,,105,4,9600,1034230,1012600046,MN17
53534564,Central Family Life Center,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"59 Wright Street,n/a",,Staten Island,10304,40.62703137,-74.07808422,(718) 273-8414,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,,,TRUE,TRUE,TRUE,,<a href=http://www.centralfamilylifecenter.org/>Visit this organization's website</a>,501,49,2100,5013676,5005210053,SI37
53534880,West Vibe Salon,Free Safer Sex Products,Condoms and Lubricant,,Business,Beauty Salon,451 West 46 Street,,Manhattan,10036,40.76180959,-73.99271178,212-854-3612,You can find free safer sex products inside a fishbowl located in the front of the Beauty Salon. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,10:00 AM - 6:00 PM,11:00 AM - 6:00 PM,TRUE,TRUE,TRUE,,,104,3,12700,1026481,1010560011,MN15
53534644,Gay Mens Health Crisis- Main Offices,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Community Center,"446 West 33 Street,6th Floor",,Manhattan,10001,40.75354535,-73.99878364,929-252-4618,You can find free safer sex products inside a dispenser located in the lobby of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,9:00 AM - 6:00 PM,,,TRUE,FALSE,TRUE,,,104,3,10300,1085401,1007299001,MN13
53534826,Segundo Ruiz Belvis Diagnostic and Treatment Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"545 East 142 Street,3rd Floor",,Bronx,10454,40.80996628,-73.9164334,(718) 579-4000,In addition to free safer sex products we offer Family Planning Services. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,TRUE,TRUE,,<a href=http://www.nyc.gov/html/hhc/html/about/About-HospServices-PrimaryPre-Belvis.shtml>Visit this organization's website</a>,201,8,4100,2090354,2022690021,BX39
53534807,PRN PC,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"5701 4th Avenue,n/a",,Brooklyn,11220,40.64245225,-74.01673029,718-567-2800,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:00 AM - 7:00 PM,9:00 AM - 5:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,,TRUE,TRUE,TRUE,,,307,38,7400,3015654,3008470008,BK32
